created_at,entry_id,field1,field2
2018-12-27 14:15:51 UTC,403,21.8,61.9
2018-12-27 14:16:10 UTC,404,21.8,61.5
2018-12-27 14:16:29 UTC,405,21.8,60.9
2018-12-27 14:16:48 UTC,406,21.8,60.9
2018-12-27 14:17:09 UTC,407,21.8,60.8
2018-12-27 14:17:27 UTC,408,21.8,61.0
2018-12-27 14:17:46 UTC,409,21.8,61.2
2018-12-27 14:18:05 UTC,410,21.8,61.0
2018-12-27 14:18:24 UTC,411,21.8,60.7
2018-12-27 14:18:44 UTC,412,21.8,60.7
2018-12-27 14:19:02 UTC,413,21.8,61.2
2018-12-27 14:19:21 UTC,414,21.8,61.1
2018-12-27 14:19:41 UTC,415,21.8,60.6
2018-12-27 14:20:01 UTC,416,21.8,60.4
2018-12-27 14:20:19 UTC,417,21.8,60.5
2018-12-27 14:20:38 UTC,418,21.8,60.3
2018-12-27 14:20:57 UTC,419,21.8,60.2
2018-12-27 14:21:16 UTC,420,21.8,60.2
2018-12-27 14:21:36 UTC,421,21.8,60.3
2018-12-27 14:21:55 UTC,422,21.8,60.4
2018-12-27 14:22:14 UTC,423,21.8,60.2
2018-12-27 14:22:33 UTC,424,21.8,60.2
2018-12-27 14:22:52 UTC,425,21.8,60.6
2018-12-27 14:23:12 UTC,426,21.8,60.7
2018-12-27 14:23:31 UTC,427,21.8,60.3
2018-12-27 14:23:50 UTC,428,21.8,60.2
2018-12-27 14:24:09 UTC,429,21.8,60.0
2018-12-27 14:24:28 UTC,430,21.8,60.2
2018-12-27 14:24:47 UTC,431,21.8,60.2
2018-12-27 14:25:07 UTC,432,21.8,60.2
2018-12-27 14:25:26 UTC,433,21.8,60.4
2018-12-27 14:25:45 UTC,434,21.8,60.4
2018-12-27 14:26:04 UTC,435,21.8,60.6
2018-12-27 14:26:23 UTC,436,21.8,60.7
2018-12-27 14:26:42 UTC,437,21.8,60.6
2018-12-27 14:27:01 UTC,438,21.8,60.7
2018-12-27 14:27:20 UTC,439,21.8,60.6
2018-12-27 14:27:39 UTC,440,21.8,60.4
2018-12-27 14:27:58 UTC,441,21.8,60.4
2018-12-27 14:28:17 UTC,442,21.8,60.5
2018-12-27 14:28:36 UTC,443,21.7,60.3
2018-12-27 14:28:55 UTC,444,21.8,60.8
2018-12-27 14:29:14 UTC,445,21.8,60.7
2018-12-27 14:29:33 UTC,446,21.8,60.6
2018-12-27 14:29:52 UTC,447,21.8,60.7
2018-12-27 14:30:12 UTC,448,21.7,60.6
2018-12-27 14:30:31 UTC,449,21.8,60.3
